date,category,TVL,TVR,Fees,TVL_for_TVR,PlainValue,TVR ratio,pre_coverage,TVL_ana,TVR_ana,thr,use_tvr_day,valid_day,active,mult_daily,log_tvl_m,log_tvr_m
2023-04-26 00:00:00+00:00,Yield,3294331430.0,755612013.9738901,583955.0,3583741148.1644893,755612013.9738901,0.210844473061593,False,3294331430.0,755612013.9738901,3518486.51808455,True,True,True,4.359818754964681,21.91546907991239,20.443038593377732
2023-04-27 00:00:00+00:00,Yield,3328778820.0,761438231.39971,532294.0,3633771659.87073,761438231.39971,0.20954487586784634,False,3328778820.0,761438231.39971,3518486.51808455,True,True,True,4.3716990856643605,21.925871352959554,20.450719612629648
2023-04-28 00:00:00+00:00,Yield,3339571926.0,764637285.21911,656624.0,3649847086.924441,764637285.21911,0.20949844390972414,False,3339571926.0,764637285.21911,3518486.51808455,True,True,True,4.36752430277191,21.92910846985281,20.45491214238385
2023-04-29 00:00:00+00:00,Yield,3301611094.0,740837118.4205301,510964.0,3614616009.9140997,740837118.4205301,0.20495596666107166,False,3301611094.0,740837118.4205301,3518486.51808455,True,True,True,4.456595129897187,21.917676396586,20.423291345900235
2023-04-30 00:00:00+00:00,Yield,3310159943.0,744622383.7886499,577827.0,3623866395.2178693,744622383.7886499,0.20547732796420679,False,3310159943.0,744622383.7886499,3518486.51808455,True,True,True,4.445420947672639,21.92026234631599,20.428387780445345
2023-05-01 00:00:00+00:00,Yield,3283287077.0,732501592.2984401,426666.0,3596741259.120421,732501592.2984401,0.20365701603945027,False,3283287077.0,732501592.2984401,3518486.51808455,True,True,True,4.482293433243902,21.91211091513971,20.4119760726394
2023-05-02 00:00:00+00:00,Yield,3250485983.0,721613042.4143401,413622.0,3560532832.7489886,721613042.4143401,0.20266995877052557,False,3250485983.0,721613042.4143401,3518486.51808455,True,True,True,4.504472330661696,21.90207035533985,20.396999600848602
2023-05-03 00:00:00+00:00,Yield,3311673714.0,729712337.1879399,422022.0,3628426777.239431,729712337.1879399,0.20110984236069315,False,3311673714.0,729712337.1879399,3518486.51808455,True,True,True,4.538327701518725,21.920719552312026,20.408160955798543
2023-05-04 00:00:00+00:00,Yield,3944580859.0,755943074.69696,531526.0,4264267058.2253013,755943074.69696,0.17727385840875728,False,3944580859.0,755943074.69696,3518486.51808455,True,True,True,5.218092460971735,22.09560853946538,20.443476633288874
2023-05-05 00:00:00+00:00,Yield,4074103546.0,737037510.0880599,665974.0,4389690358.0668,737037510.0880599,0.1679019361203071,False,4074103546.0,737037510.0880599,3518486.51808455,True,True,True,5.527674630173482,22.127916570726516,20.418149344500343
2023-05-06 00:00:00+00:00,Yield,4178424656.0,757472364.6660699,429780.0,4492024964.534283,757472364.6660699,0.1686260362857538,False,4178424656.0,757472364.6660699,3518486.51808455,True,True,True,5.516273399415766,22.153200135892234,20.445497612393286
2023-05-07 00:00:00+00:00,Yield,4081959589.0,723301270.41233,430046.0,4393394943.1125,723301270.41233,0.1646337922672409,False,4081959589.0,723301270.41233,3518486.51808455,True,True,True,5.643512262425601,22.129843001481042,20.39933638822932
2023-05-08 00:00:00+00:00,Yield,4042718474.0,711811254.9144499,603231.0,4353700085.44365,711811254.9144499,0.1634957027229208,False,4042718474.0,711811254.9144499,3518486.51808455,True,True,True,5.679480966461931,22.120183192234727,20.383323342821022
2023-05-09 00:00:00+00:00,Yield,3956392755.0,680452044.85806,553060.0,4262931825.537791,680452044.85806,0.15962067251033682,False,3956392755.0,680452044.85806,3518486.51808455,True,True,True,5.8143594172390065,22.09859852661809,20.338267907121587
2023-05-10 00:00:00+00:00,Yield,3954817121.0,679699998.05812,592227.0,4262182558.5316014,679699998.05812,0.15947228649264825,False,3954817121.0,679699998.05812,3518486.51808455,True,True,True,5.81847452155183,22.0982001971475,20.3371620794599
2023-05-11 00:00:00+00:00,Yield,3927188385.0,681849428.0512699,542040.0,4234852053.5576496,681849428.0512699,0.1610090315855205,False,3927188385.0,681849428.0512699,3518486.51808455,True,True,True,5.759612347588132,22.091189583125825,20.34031941144877
2023-05-12 00:00:00+00:00,Yield,3863278695.0,653881104.60248,362059.0,4161843473.4287004,653881104.60248,0.15711333421768153,False,3863278695.0,653881104.60248,3518486.51808455,True,True,True,5.9082280674689915,22.07478206273444,20.298436095650437
2023-05-13 00:00:00+00:00,Yield,3878870462.0,669458854.2327901,753410.0,4185242546.4669204,669458854.2327901,0.15995700292159434,False,3878870462.0,669458854.2327901,3518486.51808455,True,True,True,5.794038629073394,22.078809830157272,20.32198026375029
2023-05-14 00:00:00+00:00,Yield,3853920349.0,666216026.4818001,565819.0,4163428464.288028,666216026.4818001,0.16001620592170476,False,3853920349.0,666216026.4818001,3518486.51808455,True,True,True,5.784790812301606,22.0723567396259,20.317124539996794
2023-05-15 00:00:00+00:00,Yield,3852833221.0,670042868.17916,437020.0,4165346682.806229,670042868.17916,0.1608612485834544,False,3852833221.0,670042868.17916,3518486.51808455,True,True,True,5.750129437941882,22.072074616161764,20.32285225065946
2023-05-16 00:00:00+00:00,Yield,3903767570.0,689718549.63516,344089.0,4220250530.04762,689718549.63516,0.16343071216375807,False,3903767570.0,689718549.63516,3518486.51808455,True,True,True,5.659942844896623,22.085207967351945,20.351794173262643
